Strand	Length	PID	Gene	Synonym	Code	COG	Product	Pos_Start	Pos_End	Predicted_Operon
+	1177	16077123	mfd	BSU00550	-	COG1197LK	transcription-repair coupling factor	60430	63963	OF22
+	178	16077124	spoVT	BSU00560	-	COG2002K	transcriptional regulator	64099	64635	OF23
+	532	16077125	yabM	BSU00570	-	COG2244R	exporter	64817	66415	OF24
+	489	16077126	yabN	BSU00580	-	COG3956R	fusion methylase and nucleotide pyrophosphohydrolase	66405	67874	OF24
+	86	16077127	yabO	BSU00590	-	COG1188J	ribosomal RNA binding protein; heat shock protein	67877	68137	OF24
+	100	16077128	yabP	BSU00600	-	-	spore protein	68216	68518	OF24
+	211	16077129	yabQ	BSU00610	-	-	membrane protein of the forespore	68515	69150	OF24
+	125	16077130	divIC	BSU00620	-	COG2919D	cell-division initiation protein	69168	69545	OF24
+	128	16077131	yabR	BSU00630	-	COG1098J	hypothetical protein	69626	70012	OF24
+	827	16077132	spoIIE	BSU00640	-	COG2208TK	serine phosphatase	70538	73021	OF25
+	245	16077133	yabS	BSU00650	-	COG2304R	hypothetical protein	73106	73843	OF26
+	338	50812174	yabT	BSU00660	-	COG0515RTKL	serine/threonine-protein kinase	73809	74825	OF26
+	472	16077135	tilS	BSU00670	-	COG0037D	tRNAile lysidine synthetase	74929	76347	OF26
+	180	16077136	hprT	BSU00680	-	COG0634F	hypoxanthine-guanine phosphoribosyltransferase	76344	76886	OF26
+	637	16077137	ftsH	BSU00690	-	COG0465O	cell-division protein and general stress protein	76984	78897	OF26
+	258	255767018	coaX	BSU00700	-	COG1521K	pantothenate kinase	79092	79868	OF27
+	291	16077139	hslO	BSU00710	-	COG1281O	heat shock protein 33	79880	80755	OF27
+	297	16077140	yacD	BSU00720	-	COG0760O	protein secretion PrsA	80802	81695	OF27
+	308	16077141	cysK	BSU00730	-	COG0031E	cysteine synthase	81771	82697	OF27
+	470	16077142	pabB	BSU00740	-	COG0147EH	4-amino-4-deoxychorismate synthase	82864	84276	OF28
+	194	16077143	pabA	BSU00750	-	COG0512EH	para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II	84290	84874	OF28
+	293	16077144	pabC	BSU00760	-	COG0115EH	4-amino-4-deoxychorismate lyase	84874	85755	OF28
+	285	16077145	sul	BSU00770	-	COG0294H	dihydropteroate synthase	85737	86594	OF28
+	120	16077146	folB	BSU00780	-	COG1539H	dihydroneopterin aldolase	86587	86949	OF28
+	167	16077147	folK	BSU00790	-	COG0801H	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	86946	87449	OF28
+	69	16077148	yazB	BSU00800	-	COG1476K	transcriptional regulator	87401	87610	OF28
+	333	16077149	dusB	BSU00810	-	COG0042J	tRNA-dihydrouridine synthase B	87634	88635	OF28
+	499	16077150	lysS	BSU00820	-	COG1190J	lysyl-tRNA synthetase	88727	90226	OF28
+	154	16077151	ctsR	BSU00830	-	COG4463K	transcriptional regulator	101449	101913	OF29
+	185	16077152	mcsA	BSU00840	-	COG3880S	activator of protein kinase McsB	101927	102484	OF29
+	363	16077153	mcsB	BSU00850	-	COG3869E	ATP:guanido phosphotransferase	102484	103575	OF29
+	810	16077154	clpC	BSU00860	-	COG0542O	class III stress response-related ATPase	103572	106004	OF29
+	458	16077155	radA	BSU00870	-	COG1066O	DNA repair protein RadA	106096	107472	OF29
+	360	16077156	yacK	BSU00880	-	COG1623R	DNA integrity scanning protein DisA	107476	108558	OF29
+	366	16077157	yacL	BSU00890	-	COG4956R	hypothetical protein	108674	109774	OF29
+	232	16077158	ispD	BSU00900	-	COG1211I	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	109789	110487	OF29
+	158	16077159	ispF	BSU00910	-	COG0245I	2-C-methyl-D-erythritol 2,4-cyclo diphosphate synthase	110480	110956	OF29
+	483	16077160	gltX	BSU00920	-	COG0008J	glutamyl-tRNA synthetase	111047	112498	OF29
+	217	16077161	cysE	BSU00930	-	COG1045E	serine acetyltransferase	112800	113453	OF30
+	466	16077162	cysS	BSU00940	-	COG0215J	cysteinyl-tRNA synthetase	113450	114850	OF30
+	143	16077163	mrnC	BSU00950	-	COG1939S	ribonuclease for 23S RNA maturation	114854	115285	OF30
+	249	16077164	rlmB	BSU00960	-	COG0566J	23S rRNA methyltransferase	115269	116018	OF30
+	170	16077165	yacP	BSU00970	-	COG3688R	ribonuclease with PIN and NYN domains	116025	116537	OF30
+	218	16077166	sigH	BSU00980	-	COG1595K	RNA polymerase factor sigma-70	116600	117256	OF30
+	49	16077167	rpmG	BSU00990	-	COG0267J	50S ribosomal protein L33	117349	117498	OF31
+	59	16077168	secE	BSU01000	-	COG0690U	preprotein translocase subunit SecE	117532	117711	OF31
+	177	16077169	nusG	BSU01010	-	COG0250K	transcription antitermination protein NusG	117890	118423	OF31
+	141	255767019	rplK	BSU01020	-	COG0080J	50S ribosomal protein L11	118591	119016	OF32
+	232	255767020	rplA	BSU01030	-	COG0081J	50S ribosomal protein L1	119111	119809	OF33
+	166	255767021	rplJ	BSU01040	-	COG0244J	50S ribosomal protein L10	120061	120561	OF34
+	123	16077173	rplL	BSU01050	-	COG0222J	50S ribosomal protein L7/L12	120607	120978	OF34
+	201	16077174	ybxB	BSU01060	-	COG2813J	ribosomal RNA methyltransferase	121068	121673	OF34
+	1193	255767022	rpoB	BSU01070	-	COG0085K	DNA-directed RNA polymerase subunit beta	121919	125500	OF35
+	1199	255767023	rpoC	BSU01080	-	COG0086K	DNA-directed RNA polymerase subunit beta'	125562	129161	OF36
+	82	16077177	ybxF	BSU01090	-	COG1358J	ribosomal protein L7Ae-like	129340	129588	OF37
+	138	255767024	rpsL	BSU01100	-	COG0048J	30S ribosomal protein S12	129702	130118	OF38
+	156	255767025	rpsG	BSU01110	-	COG0049J	30S ribosomal protein S7	130160	130630	OF38
+	692	255767026	fusA	BSU01120	-	COG0480J	elongation factor G	130684	132762	OF38
+	396	16077181	tufA	BSU01130	-	COG0050J	elongation factor Tu	132882	134072	OF39
+	318	255767027	ybaC	BSU01140	-	COG0596R	proline iminopeptidase	134171	135127	OF40
+	102	16077183	rpsJ	BSU01150	-	COG0051J	30S ribosomal protein S10	135364	135672	OF41
+	209	16077184	rplC	BSU01160	-	COG0087J	50S ribosomal protein L3	135712	136341	OF41
+	207	16077185	rplD	BSU01170	-	COG0088J	50S ribosomal protein L4	136369	136992	OF41
+	95	255767028	rplW	BSU01180	-	COG0089J	50S ribosomal protein L23	136992	137279	OF41
+	277	255767029	rplB	BSU01190	-	COG0090J	50S ribosomal protein L2	137311	138144	OF41
+	92	16077188	rpsS	BSU01200	-	COG0185J	30S ribosomal protein S19	138202	138480	OF41
+	113	16077189	rplV	BSU01210	-	COG0091J	50S ribosomal protein L22	138497	138838	OF41
+	218	255767030	rpsC	BSU01220	-	COG0092J	30S ribosomal protein S3	138842	139498	OF41
+	144	16077191	rplP	BSU01230	-	COG0197J	50S ribosomal protein L16	139500	139934	OF41
+	66	16077192	rpmC	BSU01240	-	COG0255J	50S ribosomal protein L29	139924	140124	OF41
+	87	16077193	rpsQ	BSU01250	-	COG0186J	30S ribosomal protein S17	140147	140410	OF41
+	122	16077194	rplN	BSU01260	-	COG0093J	50S ribosomal protein L14	140451	140819	OF41
+	103	16077195	rplX	BSU01270	-	COG0198J	50S ribosomal protein L24	140857	141168	OF41
+	179	16077196	rplE	BSU01280	-	COG0094J	50S ribosomal protein L5	141195	141734	OF41
+	61	16077197	rpsN	BSU01290	-	COG0199J	30S ribosomal protein S14	141757	141942	OF41
+	132	255767031	rpsH	BSU01300	-	COG0096J	30S ribosomal protein S8	141974	142372	OF41
+	179	16077199	rplF	BSU01310	-	COG0097J	50S ribosomal protein L6	142402	142941	OF41
+	120	255767032	rplR	BSU01320	-	COG0256J	50S ribosomal protein L18	142974	143336	OF41
+	166	16077201	rpsE	BSU01330	-	COG0098J	30S ribosomal protein S5	143361	143861	OF41
+	59	16077202	rpmD	BSU01340	-	COG1841J	50S ribosomal protein L30	143875	144054	OF41
+	146	16077203	rplO	BSU01350	-	COG0200J	50S ribosomal protein L15	144085	144525	OF41
+	431	16077204	secY	BSU01360	-	COG0201U	preprotein translocase subunit SecY	144527	145822	OF41
+	217	16077205	adk	BSU01370	-	COG0563F	adenylate kinase	145877	146530	OF41
+	248	16077206	mapA	BSU01380	-	COG0024J	methionine aminopeptidase	146527	147273	OF41
+	74	255767033	ybzG	BSU01389	-	-	ribosomal protein	147312	147536	OF41
+	72	16077207	infA	BSU01390	-	COG0361J	translation initiation factor IF-1	147585	147803	OF41
+	37	16077208	rpmJ	BSU01400	-	COG0257J	50S ribosomal protein L36	147837	147950	OF41
+	121	255767034	rpsM	BSU01410	-	COG0099J	30S ribosomal protein S13	147973	148338	OF41
+	131	16077210	rpsK	BSU01420	-	COG0100J	30S ribosomal protein S11	148359	148754	OF41
+	314	16077211	rpoA	BSU01430	-	COG0202K	DNA-directed RNA polymerase subunit alpha	148931	149875	OF41
+	120	16077212	rplQ	BSU01440	-	COG0203J	50S ribosomal protein L17	149953	150315	OF42
+	281	255767035	cbiO	BSU01450	-	COG1122P	cobalt transporter ATP-binding subunit	150443	151288	OF43
+	276	16077214	cbiO	BSU01460	-	COG1122P	cobalt transporter ATP-binding subunit	151303	152133	OF43
+	265	255767036	ybaF	BSU01470	-	COG0619P	permease	152130	152927	OF43
+	247	255767037	truA	BSU01480	-	COG0101J	tRNA pseudouridine synthase A	152937	153680	OF43
+	145	255767038	rplM	BSU01490	-	COG0102J	50S ribosomal protein L13	153842	154279	OF43
+	130	16077218	rpsI	BSU01500	-	COG0103J	30S ribosomal protein S9	154300	154692	OF43
+	255	255767039	ybaJ	BSU01510	-	COG2227H	methyltransferase	155156	155923	OF43
+	147	16077220	ybaK	BSU01520	-	-	alkylated deoxynucleotide triphosphohydrolase	156109	156552	OF44
+	237	16077221	cwlD	BSU01530	-	COG0860M	N-acetylmuramoyl-L-alanine amidase	156612	157325	OF45
+	352	16077222	salA	BSU01540	-	COG0489D	Mrp family regulator	157421	158479	OF46
-	185	16077223	gerD	BSU01550	-	-	lipoprotein	158515	159072	OR1
+	198	16077224	kbaA	BSU01560	-	COG0474P	hypothetical protein	159182	159778	OF47
-	254	16077225	ybaN	BSU01570	-	COG0726G	polysaccharide deacetylase	159779	160543	OR1
+	478	16077226	ybaR	BSU01580	-	COG0659P	permease	177083	178519	OF48
+	306	255767040	ybaS	BSU01590	-	COG0385R	sodium dependent transporter	178665	179585	OF49
-	250	255767041	ybbA	BSU01600	-	COG2819R	iron-chelator esterase	179595	180347	OR1
-	336	255767042	feuC	BSU01610	-	COG0609P	iron-uptake protein	180344	181354	OR1
-	334	16077230	feuB	BSU01620	-	COG0609P	iron-uptake protein	181347	182351	OR1
-	317	16077231	feuA	BSU01630	-	COG0614P	iron hydroxamate-binding lipoprotein	182370	183323	OR1
-	529	16077232	ybbB	BSU01640	-	COG0614P	AraC family transcriptional regulator	183414	185003	OR1
-	414	16077233	ybbC	BSU01650	-	COG3876S	hypothetical protein	185194	186438	OR1
-	642	16077234	ybbD	BSU01660	-	COG1472G	beta-hexosaminidase	186452	188380	OR1
-	441	255767043	ybbE	BSU01670	-	COG1680V	hypothetical protein	188408	189733	OR1
-	455	255767044	ybbF	BSU01680	-	COG1263G	sugar phosphotransferase enzyme II	189790	191157	OR1
-	283	16077237	ybbH	BSU01690	-	COG1737K	transcriptional regulator	191183	192034	OR1
-	304	16077238	murQ	BSU01700	-	COG2103R	N-acetylmuramic acid 6-phosphate etherase	192051	192965	OR1
-	160	255767045	ybbJ	BSU01710	-	COG1670J	acyltransferase	193075	193557	OR1
-	151	255767046	ybbK	BSU01720	-	COG1683S	hypothetical protein	193570	194025	OR1
+	187	16077241	sigW	BSU01730	-	COG1595K	RNA polymerase sigma factor SigW	194849	195412	OF50
+	208	16077242	rsiW	BSU01740	-	COG5662K	anti-sigma(W) factor	195426	196052	OF50
+	273	255767047	ybbP	BSU01750	-	COG1624S	hypothetical protein	196213	197034	OF50
+	483	255767048	ybbR	BSU01760	-	COG4856S	hypothetical protein	197027	198478	OF50
+	448	16077245	glmM	BSU01770	-	COG1109G	phosphoglucosamine mutase	198497	199843	OF50
+	600	16077246	glmS	BSU01780	-	COG0449M	glucosamine--fructose-6-phosphate aminotransferase	200277	202079	OF50
-	303	16077248	alkA	BSU01800	-	COG0122L	DNA-3-methyladenine glycosylase	202547	203458	OR1
+	211	16077249	adaA	BSU01810	-	COG2169F	bifunctional methylphosphotriester-DNA alkyltransferase/transcriptional regulator	203729	204364	OF51
+	179	16077250	adaB	BSU01820	-	COG0350L	O6-methylguanine-DNA methyltransferase	204351	204890	OF51
+	505	16077251	ndhF	BSU01830	-	COG1009CP	NADH dehydrogenase subunit 5	205409	206926	OF51
+	871	255767049	ybcC	BSU01845	-	COG3002S	hypothetical protein	206941	209556	OF51
+	175	16077254	ybcF	BSU01860	-	COG0288P	carbonic anhydrase	209633	210160	OF51
+	96	16077255	ybcH	BSU01870	-	-	hypothetical protein	210224	210514	OF52
+	124	16077256	ybcI	BSU01880	-	COG5609S	hypothetical protein	210572	210946	OF53
+	100	255767050	ybzH	BSU01889	-	COG0640K	ArsR family transcriptional regulator	211429	211731	OF54
+	390	16077257	ybcL	BSU01890	-	COG2814G	efflux transporter	211859	213031	OF55
+	104	16077258	ybcM	BSU01900	-	COG0449M	hypothetical protein	213155	213469	OF56
+	55	16077259	skfA	BSU01910	-	-	sporulation killing factor A	213941	214108	OF57
+	410	50812176	skfB	BSU01920	-	COG0535R	synthesis of sporulation killing factor A	214175	215407	OF58
+	496	255767051	skfC	BSU01935	-	-	sporulation killing factor biosynthesis and export	215404	216894	OF58
+	239	16077264	skfE	BSU01950	-	COG1131V	sporulation killing factor biosynthesis and export; ABC transporter binding protein	216913	217632	OF58
+	447	255767052	skfF	BSU01960	-	-	sporulation killing factor biosynthesis and export; ABC transporter permease	217697	219040	OF58
+	171	255767053	skfG	BSU01970	-	-	sporulation killing factor biosynthesis and export	219087	219602	OF58
+	141	255767054	skfH	BSU01980	-	-	sporulation killing factor	219607	220032	OF58
+	325	255767055	ybdG	BSU01990	-	COG0596R	hydrolase	220279	221256	OF58
+	223	16077269	ybdJ	BSU02000	-	COG0745TK	two-component response regulator YbdK	221258	221929	OF58
+	320	16077270	ybdK	BSU02010	-	COG0642T	two-component sensor histidine kinase YbdJ	221950	222912	OF58
+	87	255767056	ybzI	BSU02019	-	-	hypothetical protein	222971	223234	OF58
-	256	16077272	ybdM	BSU02030	-	COG0515RTKL	protein kinase	223219	223989	OR1
-	285	16077273	ybdN	BSU02040	-	-	hypothetical protein	224075	224932	OR1
+	394	16077274	ybdO	BSU02050	-	-	hypothetical protein	225064	226248	OF59
+	462	16077275	ybxG	BSU02060	-	COG1113E	amino acid permease	226566	227954	OF60
+	82	16077276	csgA	BSU02070	-	-	sporulation-specific SASP protein	228066	228314	OF61
+	63	16077277	ybxH	BSU02080	-	-	hypothetical protein	228331	228522	OF61
-	267	16077278	ybxI	BSU02090	-	COG2602V	beta-lactamase	228549	229352	OR1
+	417	16077279	cypC	BSU02100	-	COG2124Q	fatty acid beta-hydroxylating cytochrome P450	229525	230778	OF61
-	86	16077280	ybyB	BSU02110	-	-	hypothetical protein	230819	231079	OR1
+	539	255767057	ybeC	BSU02120	-	COG0531E	H+/amino acid transporter	231348	232967	OF62
-	293	16077282	glpQ	BSU02130	-	COG0584C	glycerophosphoryl diester phosphodiesterase	233014	233895	OR1
-	444	16077283	glpT	BSU02140	-	COG2271G	glycerol-3-phosphate permease	233994	235328	OR1
+	82	16077284	ybeF	BSU02150	-	-	hypothetical protein	235625	235873	OF63
+	305	16077285	ybfA	BSU02160	-	COG1846K	hypothetical protein	235965	236882	OF64
+	416	16077286	ybfB	BSU02170	-	COG2271G	carboxylate transporter	236879	238129	OF64
-	94	255767058	ybfE	BSU02180	-	-	hypothetical protein	238164	238448	OR1
-	303	16077288	ybfF	BSU02190	-	-	hypothetical protein	238644	239555	OR1
-	732	16077289	ybfG	BSU02200	-	COG3409M	pepdidoglycan binding protein	239644	241842	OR1
-	306	16077290	ybfH	BSU02210	-	COG0697GER	permease	241917	242837	OR1
-	275	16077291	ybfI	BSU02220	-	COG4977K	AraC family transcriptional regulator	242834	243661	OR1
+	384	16077292	purT	BSU02230	-	COG0027F	phosphoribosylglycinamide formyltransferase 2	243892	245046	OF64
+	313	16077293	mpr	BSU02240	-	COG3591E	extracellular metalloprotease	245190	246131	OF65
+	132	16077294	ybfJ	BSU02250	-	-	lipoprotein	246094	246492	OF65
+	296	16077295	ybfK	BSU02260	-	COG0596R	carboxylesterase NP	246658	247548	OF65
+	177	16077296	pssA	BSU02270	-	COG1183I	phosphatidylserine synthase	247744	248277	OF66
+	162	16077297	ybfM	BSU02280	-	COG0586S	membrane phosphatase	248268	248756	OF66
+	263	16077298	psd	BSU02290	-	COG0688I	phosphatidylserine decarboxylase	248749	249540	OF66
+	92	16077299	ybfN	BSU02300	-	-	hypothetical protein	249595	249873	OF66
+	446	16077300	ybfO	BSU02310	-	COG2312R	hydrolase	249979	251319	OF67
+	295	16077301	ybfP	BSU02320	-	COG2207K	AraC family transcriptional regulator	251427	252314	OF68
+	322	16077302	ybfQ	BSU02330	-	COG1054R	hypothetical protein	252514	253482	OF69
-	414	16077303	gltP	BSU02340	-	COG1301C	proton/glutamate symport protein	253518	254762	OR1
-	631	16077304	nagP	BSU02350	-	COG1263G	PTS system glucosamine-specific transporter subunit IICBA	254907	256802	OR1
-	249	16077305	nagBB	BSU02360	-	COG0363G	glucosamine-6-phosphate isomerase	256823	257572	OR1
+	235	16077306	ybgA	BSU02370	-	COG2188K	GntR family transcriptional regulator	257791	258498	OF70
+	91	16077307	ybgB	BSU02380	-	COG5658S	hypothetical protein	258532	258807	OF70
+	356	16077308	ybgE	BSU02390	-	COG0115EH	branched-chain amino acid aminotransferase	259016	260086	OF70
-	470	16077309	ybgF	BSU02400	-	COG0833E	aminoacid permease	260123	261535	OR1
-	315	16077310	mmuM	BSU02410	-	COG2040E	homocysteine methyltransferase	261656	262603	OR1
-	478	255767059	glnT	BSU02420	-	COG1115E	glutamine transporter	262732	264168	OR1
-	327	16077312	ybgJ	BSU02430	-	COG2066E	glutaminase	264191	265174	OR1
+	410	255767060	glnJ	BSU02440	-	COG0642T	two-component sensor histidine kinase GlnL for glutamine degradation	265476	266708	OF71
+	314	16077314	glnL	BSU02450	-	COG4753T	two-component response regulator GlnJ for glutamine utilisation	266719	267663	OF71
+	308	255767061	ycbC	BSU02460	-	COG0329EM	5-dehydro-4-deoxyglucarate dehydratase	267890	268816	OF71
+	488	16077316	ycbD	BSU02470	-	COG1012C	2,5-dioxovalerate dehydrogenase	268846	270312	OF71
+	455	255767062	gudP	BSU02480	-	COG2271G	glucarate transporter	270396	271763	OF71
+	455	255767063	gudD	BSU02490	-	COG4948MR	glucarate dehydratase	271800	273167	OF71
+	233	255767064	ycbG	BSU02500	-	COG2186K	GntR family transcriptional regulator	273237	273938	OF71
+	510	255767065	garD	BSU02510	-	COG2721G	D-galactarate dehydratase	274029	275561	OF72
+	306	16077321	ycbJ	BSU02520	-	COG3173R	phosphotransferase	275838	276758	OF73
+	53	16077322	rtpA	BSU02530	-	COG0484O	anti-TRAP regulator	277160	277321	OF74
+	312	16077323	ycbK	BSU02540	-	COG0697GER	efflux transporter	277342	278280	OF74
+	226	255767066	ycbL	BSU02550	-	COG0745TK	two-component response regulator YcbM	278377	279057	OF74
+	311	255767067	ycbM	BSU02560	-	COG0642T	two-component sensor histidine kinase YcbL	279059	279994	OF74
+	307	255767068	ycbN	BSU02570	-	COG1131V	ABC transporter ATP-binding protein	280086	281009	OF74
+	228	255767069	ycbO	BSU02580	-	-	Na+-driven exporter or maturation protein	281028	281714	OF74
-	128	16077328	ycbP	BSU02590	-	-	inner integral membrane protein	281769	282155	OR1
+	142	255767070	cwlJ	BSU02600	-	COG3773M	cell wall hydrolase	282469	282897	OF74
+	243	255767071	ycbR	BSU02610	-	-	hypothetical protein	283003	283734	OF75
+	58	255767072	yczK	BSU02619	-	-	hypothetical protein	283816	283992	OF76
+	583	255767073	phoD	BSU02620	-	COG3540P	phosphodiesterase/alkaline phosphatase D	284011	285762	OF76
+	70	255767074	tatAD	BSU02630	-	COG1826U	twin-arginine pre-protein translocation pathway protein	285775	285987	OF76
+	242	255767075	tatCD	BSU02640	-	COG0805U	twin-arginine pre-protein translocation pathway protein	286048	286776	OF76
-	215	16077334	pcp	BSU02650	-	COG2039O	pyrrolidone-carboxylate peptidase	286773	287420	OR1
+	370	255767076	ycbU	BSU02660	-	COG0520E	cysteine desulfurase	287499	288611	OF77
-	479	16077336	lmrB	BSU02670	-	COG2814G	efflux transporter; drug-export protein	288653	290092	OR1
-	188	16077337	lmrA	BSU02680	-	COG1309K	transcriptional repressor	290132	290698	OR1
+	375	16077338	ansZ	BSU02690	-	COG0252EJ	L-asparaginase	290915	292042	OF78
+	212	16077339	estA	BSU02700	-	COG1075R	secreted alkaliphilic lipase	292205	292843	OF79
-	127	16077340	yczC	BSU02710	-	COG1714S	hypothetical protein	292881	293264	OR1
+	358	16077341	yccF	BSU02720	-	COG3318R	hypothetical protein	293499	294575	OF80
-	318	16077342	natK	BSU02730	-	COG3290T	two-component sensor histidine kinase NatR	294615	295571	OR1
-	233	16077343	natR	BSU02740	-	COG3279KT	two-component response regulator NatK	295584	296285	OR1
+	246	16077344	natA	BSU02750	-	COG4555CP	Na+ ABC efflux transporter ATP-binding protein	296429	297169	OF81
+	386	16077345	natB	BSU02760	-	COG1668CP	Na+ ABC efflux transporter permease	297170	298330	OF81
+	310	16077346	yccK	BSU02770	-	COG0667C	ion channel associated enzyme	298466	299398	OF81
-	354	16077347	ycdA	BSU02780	-	-	lipoprotein	299438	300502	OR1
+	472	16077348	ycdB	BSU02790	-	COG3227E	hydrolase	300830	302248	OF82
+	453	16077349	ycdC	BSU02800	-	-	hydrolase	302435	303796	OF83
-	167	16077350	cwlK	BSU02810	-	COG1876M	murein L,D:-endopeptidase	303804	304307	OR1
+	373	16077351	rapJ	BSU02820	-	-	response regulator aspartate phosphatase	304430	305551	OF84
+	258	16077352	ycdF	BSU02830	-	COG1028IQR	dehydrogenase	305658	306434	OF85
+	561	16077353	ycdG	BSU02840	-	COG0366G	glycosidase	306459	308144	OF85
