Contig	Source	Type	Pos_Start	Pos_End	Strand	Locus_Tag	Product	Predicted_Operon
HCP21_2_88207	img_mer_v340	CDS	6	125	-	HCP21_00000350	Protein of unknown function (DUF1681).	HCP21_2_88207-R1
HCP21_2_88707	img_mer_v340	CDS	28	132	-	HCP21_00000360	Tetratricopeptide repeat.	HCP21_2_88707-R1
HCP21_2_91707	img_mer_v340	CDS	2	180	-	HCP21_00000370	Predicted membrane protein	HCP21_2_91707-R1
HCP21_2_93207	img_mer_v340	CDS	7	225	-	HCP21_00000380	Methionine synthase I, cobalamin-binding domain	HCP21_2_93207-R1
HCP21_2_108978	img_mer_v340	tRNA	14	99	+			HCP21_2_108978-F1
HCP21_2_110478	img_mer_v340	CDS	4	108	+	HCP21_00000400	hypothetical protein	HCP21_2_110478-F1
HCP21_2_125726	img_mer_v340	CDS	2	117	-	HCP21_00000410	MORN repeat.	HCP21_2_125726-R1
HCP21_2_129226	img_mer_v340	CDS	3	154	-	HCP21_00000420	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	HCP21_2_129226-R1
HCP21_2_138405	img_mer_v340	CDS	3	119	-	HCP21_00000430	hypothetical protein	HCP21_2_138405-R1
HCP21_2_145905	img_mer_v340	CDS	13	180	-	HCP21_00000440	Vesicle coat complex COPII, subunit SEC24/subunit SFB2/subunit SFB3	HCP21_2_145905-R1
HCP21_2_147905	img_mer_v340	CDS	6	176	+	HCP21_00000450	hypothetical protein	HCP21_2_147905-F1
HCP21_2_153758	img_mer_v340	CDS	3	106	-	HCP21_00000460	Nucleolar RNA-binding protein, Nop10p family.	HCP21_2_153758-R1
HCP21_2_160258	img_mer_v340	CDS	4	165	+	HCP21_00000470	Adaptor complexes medium subunit family.	HCP21_2_160258-F1
HCP21_8563	img_mer_v340	CDS	2	310	+	HCP21_00000480	hypothetical protein	HCP21_8563-F1
HCP21_1655	img_mer_v340	CDS	1	312	-	HCP21_00000490	hypothetical protein	HCP21_1655-R1
HCP21_635_	img_mer_v340	CDS	2	499	+	HCP21_00000500	hypothetical protein	HCP21_635_-F1
HCP21_5227	img_mer_v340	CDS	2	658	+	HCP21_00000510	hypothetical protein	HCP21_5227-F1
HCP21_8582	img_mer_v340	CDS	2	361	+	HCP21_00000520	hypothetical protein	HCP21_8582-F1
HCP21_8920	img_mer_v340	CDS	3	1085	-	HCP21_00000530	Cyclic nucleotide-binding domain.	HCP21_8920-R1
HCP21_187_	img_mer_v340	CDS	3	305	-	HCP21_00000540	hypothetical protein	HCP21_187_-R1
HCP21_6522	img_mer_v340	CDS	194	601	-	HCP21_00000550	hypothetical protein	HCP21_6522-R1
HCP21_3783	img_mer_v340	CDS	100	309	+	HCP21_00000560	hypothetical protein	HCP21_3783-F1
HCP21_8686	img_mer_v340	CDS	2	322	-	HCP21_00000570	hypothetical protein	HCP21_8686-R1
HCP21_1062	img_mer_v340	CDS	2	283	+	HCP21_00000580	hypothetical protein	HCP21_1062-F1
HCP21_7322	img_mer_v340	CDS	2	769	+	HCP21_00000590	Ion transport protein.	HCP21_7322-F1
HCP21_7322	img_mer_v340	CDS	762	1133	-	HCP21_00000600	hypothetical protein	HCP21_7322-R1
HCP21_7385	img_mer_v340	CDS	21	1010	+	HCP21_00000610	Ubiquitin C-terminal hydrolase	HCP21_7385-F1
HCP21_543_	img_mer_v340	CDS	2	61	-	HCP21_00000620	hypothetical protein	HCP21_543_-R1
HCP21_3072	img_mer_v340	CDS	36	362	-	HCP21_00000630	hypothetical protein	HCP21_3072-R1
HCP21_118_	img_mer_v340	CDS	42	788	+	HCP21_00000640	YqaJ-like viral recombinase domain.	HCP21_118_-F1
HCP21_118_	img_mer_v340	CDS	793	2529	+	HCP21_00000650	DNA or RNA helicases of superfamily II	HCP21_118_-F1
HCP21_118_	img_mer_v340	CDS	2540	3247	+	HCP21_00000660	hypothetical protein	HCP21_118_-F1
HCP21_6212	img_mer_v340	CDS	83	418	-	HCP21_00000670	hypothetical protein	HCP21_6212-R1
HCP21_5734	img_mer_v340	CDS	3	605	-	HCP21_00000680	Predicted permease.	HCP21_5734-R1
HCP21_3793	img_mer_v340	CDS	3	335	-	HCP21_00000690	hypothetical protein	HCP21_3793-R1
HCP21_8613	img_mer_v340	CDS	90	461	+	HCP21_00000700	hypothetical protein	HCP21_8613-F1
HCP21_3460	img_mer_v340	CDS	1	420	+	HCP21_00000710	hypothetical protein	HCP21_3460-F1
HCP21_8213	img_mer_v340	CDS	1	345	+	HCP21_00000720	hypothetical protein	HCP21_8213-F1
HCP21_1_1_newblercontig11656	img_mer_v340	CDS	20	187	-	HCP21_00000730	Tubulin	HCP21_1_1_newblercontig11656-R1
HCP21_1_1_newblercontig12203	img_mer_v340	CDS	6	182	+	HCP21_00000740	hypothetical protein	HCP21_1_1_newblercontig12203-F1
HCP21_1_1_newblercontig13287	img_mer_v340	CDS	3	242	-	HCP21_00000750	WD domain, G-beta repeat.	HCP21_1_1_newblercontig13287-R1
HCP21_2_865	img_mer_v340	CDS	20	97	-	HCP21_00000760	hypothetical protein	HCP21_2_865-R1
HCP21_2_8365	img_mer_v340	CDS	2	124	+	HCP21_00000770	NADH:flavin oxidoreductases, Old Yellow Enzyme family	HCP21_2_8365-F1
HCP21_2_9865	img_mer_v340	CDS	3	161	-	HCP21_00000780	hypothetical protein	HCP21_2_9865-R1
HCP21_2_17698	img_mer_v340	CDS	14	109	+	HCP21_00000790	Acyl-CoA dehydrogenase, C-terminal domain.	HCP21_2_17698-F1
HCP21_2_24198	img_mer_v340	CDS	1	165	+	HCP21_00000800	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	HCP21_2_24198-F1
HCP21_2_24698	img_mer_v340	CDS	32	172	-	HCP21_00000810	Aldo/keto reductases, related to diketogulonate reductase	HCP21_2_24698-R1
HCP21_2_32923	img_mer_v340	CDS	4	126	-	HCP21_00000820	hypothetical protein	HCP21_2_32923-R1
HCP21_2_35423	img_mer_v340	CDS	2	153	-	HCP21_00000830	hypothetical protein	HCP21_2_35423-R1
HCP21_2_46525	img_mer_v340	CDS	1	133	+	HCP21_00000840	Putative NADH-flavin reductase	HCP21_2_46525-F1
HCP21_2_48525	img_mer_v340	CDS	2	145	+	HCP21_00000850	ABC-type sugar transport systems, ATPase components	HCP21_2_48525-F1
HCP21_2_50025	img_mer_v340	CDS	6	158	+	HCP21_00000860	hypothetical protein	HCP21_2_50025-F1
HCP21_2_60911	img_mer_v340	CDS	2	115	+	HCP21_00000870	MORN repeat.	HCP21_2_60911-F1
HCP21_2_61911	img_mer_v340	CDS	3	119	-	HCP21_00000880	hypothetical protein	HCP21_2_61911-R1
HCP21_2_63911	img_mer_v340	CDS	3	134	+	HCP21_00000890	Molecular chaperone	HCP21_2_63911-F1
HCP21_2_65411	img_mer_v340	CDS	20	139	+	HCP21_00000900	hypothetical protein	HCP21_2_65411-F1
HCP21_2_67411	img_mer_v340	CDS	3	185	-	HCP21_00000910	Serine/threonine protein kinase	HCP21_2_67411-R1
HCP21_2_68411	img_mer_v340	CDS	6	215	-	HCP21_00000920	Pumilio-family RNA binding repeat.	HCP21_2_68411-R1
HCP21_2_94880	img_mer_v340	CDS	4	102	+	HCP21_00000930	hypothetical protein	HCP21_2_94880-F1
HCP21_2_101880	img_mer_v340	CDS	11	148	+	HCP21_00000940	Bacterial capsule synthesis protein PGA_cap.	HCP21_2_101880-F1
HCP21_2_111479	img_mer_v340	rRNA	1	125	-	HCP21_00000950	23S	HCP21_2_111479-R1
HCP21_2_114479	img_mer_v340	CDS	2	150	-	HCP21_00000960	Aldo/keto reductases, related to diketogulonate reductase	HCP21_2_114479-R1
HCP21_2_114979	img_mer_v340	CDS	11	157	+	HCP21_00000970	hypothetical protein	HCP21_2_114979-F1
HCP21_2_116979	img_mer_v340	CDS	69	185	-	HCP21_00000980	hypothetical protein	HCP21_2_116979-R1
HCP21_2_118979	img_mer_v340	CDS	13	222	+	HCP21_00000990	Beta-glucosidase-related glycosidases	HCP21_2_118979-F1
HCP21_2_126727	img_mer_v340	CDS	3	128	+	HCP21_00001000	hypothetical protein	HCP21_2_126727-F1
HCP21_2_140406	img_mer_v340	CDS	5	124	+	HCP21_00001010	hypothetical protein	HCP21_2_140406-F1
HCP21_2_154259	img_mer_v340	CDS	2	111	-	HCP21_00001020	MORN repeat.	HCP21_2_154259-R1
HCP21_2_155759	img_mer_v340	CDS	4	120	+	HCP21_00001030	hypothetical protein	HCP21_2_155759-F1
HCP21_1387	img_mer_v340	CDS	77	367	-	HCP21_00001040	hypothetical protein	HCP21_1387-R1
HCP21_8684	img_mer_v340	CDS	3	359	+	HCP21_00001050	Jumping translocation breakpoint protein (JTB).	HCP21_8684-F1
HCP21_192_	img_mer_v340	CDS	3	363	-	HCP21_00001060	hypothetical protein	HCP21_192_-R1
HCP21_8515	img_mer_v340	CDS	78	434	-	HCP21_00001070	hypothetical protein	HCP21_8515-R1
HCP21_4461	img_mer_v340	CDS	2	64	+	HCP21_00001080	hypothetical protein	HCP21_4461-F1
HCP21_4461	img_mer_v340	CDS	290	394	+	HCP21_00001090	hypothetical protein	HCP21_4461-F2
HCP21_10828	img_mer_v340	CDS	40	423	+	HCP21_00001100	hypothetical protein	HCP21_10828-F1
HCP21_135_	img_mer_v340	CDS	1	1092	-	HCP21_00001110	hypothetical protein	HCP21_135_-R1
HCP21_135_	img_mer_v340	CDS	1321	3099	+	HCP21_00001120	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II	HCP21_135_-F1
HCP21_135_	img_mer_v340	CDS	3223	3894	-	HCP21_00001130	hypothetical protein	HCP21_135_-R1
HCP21_5420	img_mer_v340	CDS	2	121	-	HCP21_00001140	hypothetical protein	HCP21_5420-R1
HCP21_5420	img_mer_v340	CDS	185	334	-	HCP21_00001150	hypothetical protein	HCP21_5420-R1
HCP21_9425	img_mer_v340	CDS	3	497	+	HCP21_00001160	Polysaccharide pyruvyl transferase.	HCP21_9425-F1
HCP21_6476	img_mer_v340	CDS	269	367	-	HCP21_00001170	hypothetical protein	HCP21_6476-R1
HCP21_1801	img_mer_v340	CDS	2	328	+	HCP21_00001180	hypothetical protein	HCP21_1801-F1
HCP21_1838	img_mer_v340	CDS	2	400	+	HCP21_00001190	hypothetical protein	HCP21_1838-F1
HCP21_2724	img_mer_v340	CDS	2	450	-	HCP21_00001200	FOG: TPR repeat, SEL1 subfamily	HCP21_2724-R1
HCP21_3719	img_mer_v340	CDS	2	169	+	HCP21_00001210	hypothetical protein	HCP21_3719-F1
HCP21_1126	img_mer_v340	CDS	1	276	-	HCP21_00001220	hypothetical protein	HCP21_1126-R1
HCP21_2321	img_mer_v340	CDS	190	357	+	HCP21_00001230	hypothetical protein	HCP21_2321-F1
HCP21_4172	img_mer_v340	CDS	1	204	+	HCP21_00001240	N-acetylmuramoyl-L-alanine amidase	HCP21_4172-F1
HCP21_3151	img_mer_v340	CDS	1	108	+	HCP21_00001250	hypothetical protein	HCP21_3151-F1
HCP21_3151	img_mer_v340	CDS	448	621	-	HCP21_00001260	hypothetical protein	HCP21_3151-R1
HCP21_6018	img_mer_v340	CDS	1	60	+	HCP21_00001270	hypothetical protein	HCP21_6018-F1
HCP21_6018	img_mer_v340	CDS	201	350	+	HCP21_00001280	hypothetical protein	HCP21_6018-F2
HCP21_6018	img_mer_v340	CDS	366	584	+	HCP21_00001290	hypothetical protein	HCP21_6018-F2
HCP21_1_1_newblercontig07137	img_mer_v340	CDS	15	239	-	HCP21_00001300	hypothetical protein	HCP21_1_1_newblercontig07137-R1
HCP21_1_1_newblercontig08309	img_mer_v340	CDS	3	227	+	HCP21_00001310	hypothetical protein	HCP21_1_1_newblercontig08309-F1
HCP21_1_1_newblercontig11123	img_mer_v340	CDS	3	194	-	HCP21_00001320	D-alanine-D-alanine ligase and related ATP-grasp enzymes	HCP21_1_1_newblercontig11123-R1
HCP21_1_1_newblercontig11666	img_mer_v340	CDS	3	185	-	HCP21_00001330	Putative GTPase activating protein for Arf.	HCP21_1_1_newblercontig11666-R1
HCP21_1_1_newblercontig14864	img_mer_v340	CDS	3	140	-	HCP21_00001340	Protein of unknown function (DUF1703).	HCP21_1_1_newblercontig14864-R1
HCP21_2_10374	img_mer_v340	CDS	5	166	-	HCP21_00001350	hypothetical protein	HCP21_2_10374-R1
HCP21_2_19207	img_mer_v340	CDS	2	94	+	HCP21_00001360	Rhomboid family.	HCP21_2_19207-F1
HCP21_2_23707	img_mer_v340	CDS	3	157	-	HCP21_00001370	NADH:flavin oxidoreductases, Old Yellow Enzyme family	HCP21_2_23707-R1
HCP21_2_27432	img_mer_v340	CDS	3	100	-	HCP21_00001380	Protein kinase domain.	HCP21_2_27432-R1
HCP21_2_35932	img_mer_v340	CDS	1	159	+	HCP21_00001390	Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit	HCP21_2_35932-F1
HCP21_2_45034	img_mer_v340	rRNA	1	124	+	HCP21_00001400	16S	HCP21_2_45034-F1
HCP21_2_46534	img_mer_v340	CDS	1	132	+	HCP21_00001410	hypothetical protein	HCP21_2_46534-F1
HCP21_2_58920	img_mer_v340	CDS	2	105	-	HCP21_00001420	SOS-response transcriptional repressors (RecA-mediated autopeptidases)	HCP21_2_58920-R1
HCP21_2_66420	img_mer_v340	CDS	2	165	-	HCP21_00001430	hypothetical protein	HCP21_2_66420-R1
HCP21_2_68420	img_mer_v340	CDS	3	215	-	HCP21_00001440	Protein kinase domain.	HCP21_2_68420-R1
HCP21_2_74063	img_mer_v340	CDS	2	120	-	HCP21_00001450	MORN repeat.	HCP21_2_74063-R1
HCP21_2_76563	img_mer_v340	CDS	3	139	-	HCP21_00001460	Protein kinase domain.	HCP21_2_76563-R1
HCP21_2_88217	img_mer_v340	CDS	2	132	-	HCP21_00001470	hypothetical protein	HCP21_2_88217-R1
HCP21_2_98889	img_mer_v340	CDS	1	123	+	HCP21_00001480	MORN repeat.	HCP21_2_98889-F1
HCP21_2_106488	img_mer_v340	CDS	2	103	+	HCP21_00001490	UDP-N-acetylmuramate dehydrogenase	HCP21_2_106488-F1
HCP21_2_113988	img_mer_v340	CDS	42	146	-	HCP21_00001500	hypothetical protein	HCP21_2_113988-R1
HCP21_2_118488	img_mer_v340	CDS	2	213	-	HCP21_00001510	RNA recognition motif.	HCP21_2_118488-R1
HCP21_2_119488	img_mer_v340	CDS	1	234	+	HCP21_00001520	hypothetical protein	HCP21_2_119488-F1
HCP21_2_122736	img_mer_v340	CDS	13	108	+	HCP21_00001530	hypothetical protein	HCP21_2_122736-F1
HCP21_2_126236	img_mer_v340	CDS	5	124	-	HCP21_00001540	hypothetical protein	HCP21_2_126236-R1
HCP21_2_127236	img_mer_v340	CDS	1	132	+	HCP21_00001550	hypothetical protein	HCP21_2_127236-F1
HCP21_2_129236	img_mer_v340	CDS	2	109	+	HCP21_00001560	hypothetical protein	HCP21_2_129236-F1
HCP21_2_131236	img_mer_v340	CDS	44	187	-	HCP21_00001570	Ras family.	HCP21_2_131236-R1
HCP21_2_135915	img_mer_v340	CDS	9	104	+	HCP21_00001580	RNA polymerase Rpb1, domain 7.	HCP21_2_135915-F1
HCP21_2_137415	img_mer_v340	CDS	5	115	-	HCP21_00001590	Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)	HCP21_2_137415-R1
HCP21_2_141915	img_mer_v340	CDS	2	136	+	HCP21_00001600	hypothetical protein	HCP21_2_141915-F1
HCP21_2_143915	img_mer_v340	CDS	34	159	-	HCP21_00001610	hypothetical protein	HCP21_2_143915-R1
HCP21_2_145415	img_mer_v340	CDS	3	175	+	HCP21_00001620	GTPase SAR1 and related small G proteins	HCP21_2_145415-F1
HCP21_2_153268	img_mer_v340	CDS	5	106	-	HCP21_00001630	hypothetical protein	HCP21_2_153268-R1
HCP21_2_156268	img_mer_v340	CDS	7	123	+	HCP21_00001640	MORN repeat.	HCP21_2_156268-F1
HCP21_2_160268	img_mer_v340	CDS	3	164	+	HCP21_00001650	Myb superfamily proteins, including transcription factors and mRNA splicing factors	HCP21_2_160268-F1
HCP21_8789	img_mer_v340	CDS	212	925	-	HCP21_00001660	Predicted restriction endonuclease	HCP21_8789-R1
HCP21_4132	img_mer_v340	CDS	1	621	+	HCP21_00001670	hypothetical protein	HCP21_4132-F1
HCP21_4132	img_mer_v340	CDS	708	872	+	HCP21_00001680	hypothetical protein	HCP21_4132-F2
HCP21_6016	img_mer_v340	CDS	207	344	+	HCP21_00001690	hypothetical protein	HCP21_6016-F1
HCP21_9963	img_mer_v340	CDS	3	92	+	HCP21_00001700	hypothetical protein	HCP21_9963-F1
HCP21_9963	img_mer_v340	CDS	296	385	+	HCP21_00001710	hypothetical protein	HCP21_9963-F2
HCP21_8239	img_mer_v340	CDS	3	353	-	HCP21_00001720	hypothetical protein	HCP21_8239-R1
HCP21_2399	img_mer_v340	CDS	3	1073	-	HCP21_00001730	putative TIM-barrel protein, nifR3 family	HCP21_2399-R1
HCP21_2399	img_mer_v340	CDS	1123	1893	-	HCP21_00001740	pantothenate kinase, type III	HCP21_2399-R1
HCP21_2399	img_mer_v340	CDS	1915	2241	-	HCP21_00001750	hypothetical protein	HCP21_2399-R1
HCP21_2399	img_mer_v340	CDS	2293	2394	-	HCP21_00001760	hypothetical protein	HCP21_2399-R1
HCP21_6615	img_mer_v340	CDS	1	384	+	HCP21_00001770	hypothetical protein	HCP21_6615-F1
HCP21_115_	img_mer_v340	CDS	2	2785	+	HCP21_00001780	hypothetical protein	HCP21_115_-F1
HCP21_8479	img_mer_v340	CDS	2	430	+	HCP21_00001790	hypothetical protein	HCP21_8479-F1
HCP21_1585	img_mer_v340	CDS	3	353	+	HCP21_00001800	hypothetical protein	HCP21_1585-F1
HCP21_2433	img_mer_v340	CDS	3	638	+	HCP21_00001810	Uncharacterized protein related to capsule biosynthesis enzymes	HCP21_2433-F1
HCP21_2433	img_mer_v340	CDS	671	886	-	HCP21_00001820	hypothetical protein	HCP21_2433-R1
HCP21_2433	img_mer_v340	CDS	965	1681	+	HCP21_00001830	FKBP-type peptidyl-prolyl cis-trans isomerases 1	HCP21_2433-F2
HCP21_2433	img_mer_v340	CDS	1905	2093	+	HCP21_00001840	hypothetical protein	HCP21_2433-F3
HCP21_4743	img_mer_v340	CDS	3	385	-	HCP21_00001850	Restriction endonuclease	HCP21_4743-R1
HCP21_7499	img_mer_v340	CDS	2	259	+	HCP21_00001860	hypothetical protein	HCP21_7499-F1
HCP21_7499	img_mer_v340	CDS	277	336	-	HCP21_00001870	hypothetical protein	HCP21_7499-R1
HCP21_2957	img_mer_v340	CDS	1	69	+	HCP21_00001880	hypothetical protein	HCP21_2957-F1
HCP21_2957	img_mer_v340	CDS	62	496	-	HCP21_00001890	hypothetical protein	HCP21_2957-R1
HCP21_2957	img_mer_v340	CDS	477	554	-	HCP21_00001900	hypothetical protein	HCP21_2957-R1
HCP21_1079	img_mer_v340	CDS	2	193	+	HCP21_00001910	hypothetical protein	HCP21_1079-F1
HCP21_9913	img_mer_v340	CDS	2	493	+	HCP21_00001920	hypothetical protein	HCP21_9913-F1
HCP21_911_	img_mer_v340	CDS	2	346	+	HCP21_00001930	hypothetical protein	HCP21_911_-F1
HCP21_5936	img_mer_v340	CDS	3	608	-	HCP21_00001940	hypothetical protein	HCP21_5936-R1
HCP21_8019	img_mer_v340	CDS	3	287	+	HCP21_00001950	hypothetical protein	HCP21_8019-F1
HCP21_8019	img_mer_v340	CDS	303	1220	+	HCP21_00001960	AraC-type DNA-binding domain-containing proteins	HCP21_8019-F1
HCP21_5651	img_mer_v340	CDS	3	176	+	HCP21_00001970	hypothetical protein	HCP21_5651-F1
HCP21_5651	img_mer_v340	CDS	283	528	-	HCP21_00001980	hypothetical protein	HCP21_5651-R1
HCP21_5433	img_mer_v340	CDS	3	398	-	HCP21_00001990	hypothetical protein	HCP21_5433-R1
HCP21_4456	img_mer_v340	CDS	1	642	-	HCP21_00002000	hypothetical protein	HCP21_4456-R1
HCP21_1872	img_mer_v340	CDS	1	456	+	HCP21_00002010	hypothetical protein	HCP21_1872-F1
HCP21_6401	img_mer_v340	CDS	42	419	-	HCP21_00002020	hypothetical protein	HCP21_6401-R1
HCP21_8361	img_mer_v340	CDS	207	431	+	HCP21_00002030	hypothetical protein	HCP21_8361-F1
HCP21_2102	img_mer_v340	CDS	2	343	+	HCP21_00002040	hypothetical protein	HCP21_2102-F1
HCP21_9469	img_mer_v340	CDS	88	1209	+	HCP21_00002050	hypothetical protein	HCP21_9469-F1
HCP21_8179	img_mer_v340	CDS	3	461	-	HCP21_00002060	hypothetical protein	HCP21_8179-R1
HCP21_1405	img_mer_v340	CDS	1	147	-	HCP21_00002070	hypothetical protein	HCP21_1405-R1
HCP21_2374	img_mer_v340	CDS	1	252	-	HCP21_00002080	hypothetical protein	HCP21_2374-R1
HCP21_7672	img_mer_v340	CDS	3	614	+	HCP21_00002090	hypothetical protein	HCP21_7672-F1
HCP21_4709	img_mer_v340	CDS	3	395	-	HCP21_00002100	hypothetical protein	HCP21_4709-R1
HCP21_1477	img_mer_v340	CDS	364	432	-	HCP21_00002110	hypothetical protein	HCP21_1477-R1
HCP21_4665	img_mer_v340	CDS	1	276	+	HCP21_00002120	hypothetical protein	HCP21_4665-F1
HCP21_4665	img_mer_v340	CDS	425	487	-	HCP21_00002130	hypothetical protein	HCP21_4665-R1
HCP21_1817	img_mer_v340	CDS	48	302	-	HCP21_00002140	hypothetical protein	HCP21_1817-R1
HCP21_10249	img_mer_v340	CDS	3	458	+	HCP21_00002150	hypothetical protein	HCP21_10249-F1
HCP21_2422	img_mer_v340	CDS	2	2179	+	HCP21_00002160	ATP-dependent protease La	HCP21_2422-F1
HCP21_2422	img_mer_v340	CDS	2220	2282	+	HCP21_00002170	hypothetical protein	HCP21_2422-F1
HCP21_3713	img_mer_v340	CDS	1	642	+	HCP21_00002180	hypothetical protein	HCP21_3713-F1
HCP21_8589	img_mer_v340	CDS	37	1185	-	HCP21_00002190	hypothetical protein	HCP21_8589-R1
HCP21_10361	img_mer_v340	CDS	3	68	+	HCP21_00002200	hypothetical protein	HCP21_10361-F1
HCP21_10361	img_mer_v340	CDS	162	713	-	HCP21_00002210	hypothetical protein	HCP21_10361-R1
HCP21_5783	img_mer_v340	CDS	3	419	-	HCP21_00002220	hypothetical protein	HCP21_5783-R1
HCP21_9479	img_mer_v340	CDS	1	309	-	HCP21_00002230	Trehalose-6-phosphatase	HCP21_9479-R1
HCP21_9479	img_mer_v340	CDS	254	487	-	HCP21_00002240	Trehalose-phosphatase.	HCP21_9479-R1
HCP21_2_13965	img_mer_v340	CDS	3	233	-	HCP21_00002250	Ketopantoate hydroxymethyltransferase	HCP21_2_13965-R1
HCP21_4209	img_mer_v340	CDS	1	264	-	HCP21_00002260	hypothetical protein	HCP21_4209-R1
HCP21_1575	img_mer_v340	CDS	2	445	-	HCP21_00002270	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	HCP21_1575-R1
HCP21_10425	img_mer_v340	CDS	3	539	+	HCP21_00002280	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain	HCP21_10425-F1
HCP21_10425	img_mer_v340	CDS	621	965	+	HCP21_00002290	Cysteine sulfinate desulfinase/cysteine desulfurase and related enzymes	HCP21_10425-F2
HCP21_7335	img_mer_v340	CDS	1	471	+	HCP21_00002300	hypothetical protein	HCP21_7335-F1
HCP21_6827	img_mer_v340	CDS	59	553	+	HCP21_00002310	hypothetical protein	HCP21_6827-F1
HCP21_478_	img_mer_v340	CDS	118	231	-	HCP21_00002320	hypothetical protein	HCP21_478_-R1
HCP21_736_	img_mer_v340	CDS	2	130	+	HCP21_00002330	hypothetical protein	HCP21_736_-F1
